College Name and Place,Logo Link
"{'Name': 'Indira Gandhi Medial College and Research Institute - [IGMC &RI]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Indira Gandhi Medial College and Research Institute - [IGMC &RI]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Mahatma Gandhi Post Graduate Institute of Dental Sciences - [MGPGI]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1470648308logo.medical.png?h=43&w=43&mode=stretch
"{'Name': 'Mahatma Gandhi Post Graduate Institute of Dental Sciences - [MGPGI]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Mahatma Gandhi Post Graduate Institute of Dental Sciences - [MGPGI]', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Mahatma Gandhi Government Arts College - [MGGAC]', 'Location': 'Yanam, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1470653142logo.png?h=43&w=43&mode=stretch
"{'Name': 'Mother Teresa Post Graduate and Research Institute of Health Sciences - [MTIHS]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1487154473jhjdnas.png?h=43&w=43&mode=stretch
"{'Name': 'Vinayaka Missions Medical College and Hospital - [VMMCH]', 'Location': 'Karaikal, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1507359281Logo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Vinayaka Missions Medical College and Hospital - [VMMCH]', 'Location': 'Karaikal, Puducherry'}",
"{'Name': 'Vinayaka Missions Medical College and Hospital - [VMMCH]', 'Location': 'Karaikal, Puducherry'}",
"{'Name': 'Kasturba Gandhi Nursing College - [KGNC]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1549265444logo.jpg?h=43&w=43&mode=stretch
