College Name,Place,Logo Link
D Y Patil Medical College,"Kolhapur, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/14743561511439246408D Y Patil Education Societys Medical College.gif?h=43&w=43&mode=stretch
Government Law College - [GLC],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/139410475028279.png?h=43&w=43&mode=stretch
Symbiosis College of Arts and Commerce,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1457520320Sym.png?h=43&w=43&mode=stretch
Mulund College of Commerce,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/col15945.jpg?h=43&w=43&mode=stretch
Sau. Leena Kishor Mamidwar Institute of Management Studies and Research,"Chandrapur, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/16323888591588653762phpzdcVwF.jpg?h=43&w=43&mode=stretch
Dr. V.N. Bedekar Institute of Management Studies - [DRVNBIMS],"Thane, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/15013150131462433007koikiko.jpg?h=43&w=43&mode=stretch
Wilson College,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1460110456logo.jpg?h=43&w=43&mode=stretch
MGM Institute of Management & Research - [MGM IOM & R],"Aurangabad, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1603442390Screenshot20201023132505.jpg?h=43&w=43&mode=stretch
Bombay College of Pharmacy - [BCP],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1425031756bomby college.jpg?h=43&w=43&mode=stretch
D.E.S's Shri. Navalmal Firodia Law College - [DES SNFLC],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1424492479des.jpg?h=43&w=43&mode=stretch
Sinhgad Business School - [SBS] Erandwane,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1394348826Sinhgad Business School.JPG?h=43&w=43&mode=stretch
Bharati Vidyapeeth Dental College and Hospital - [BVDCH],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1603970564Logo.png?h=43&w=43&mode=stretch
Regenesys Business School,"Navi Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1612331453image1.jpg?h=43&w=43&mode=stretch
G.S. College of Commerce and Economics,"Nagpur, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1638421716download.jpg?h=43&w=43&mode=stretch
