,Country,Universities Names,University Place
360, Germany,"Witten/Herdecke University, Witten","North Rhine-Westphalia, Germany"
361, Germany,"University of Trier, Trier","Rhineland-Palatinate, Germany"
362, Germany,"University of Koblenz - Landau, Mainz","Rhineland-Palatinate, Germany"
363, Germany,"Technical University of Clausthal, Clausthal-Zellerfeld","Lower Saxony, Germany"
364, Germany,"Carl Benz School, Karlsruhe","Baden-Wurttemberg, Germany"
365, Germany,"RWTH International Academy, Aachen","North Rhine-Westphalia, Germany"
366, Germany,"RWTH Business School, Aachen","North Rhine-Westphalia, Germany"
367, Germany,"Technical University Freiberg, Freiburg","Baden-Wurttemberg, Germany"
368, Germany,"European Business School, Munich","Bavaria, Germany"
369, Germany,"WHU - Otto Beisheim School of Management, Vallendar","Rhineland-Palatinate, Germany"
370, Germany,"Osnabruck University, Osnabruck","Lower Saxony, Germany"
371, Germany,"Bauhaus University, Weimar","Thuringia, Germany"
372, Germany,"Berlin University of the Arts, Berlin","Berlin, Germany"
373, Germany,"Frankfurt School of Finance & Management, Frankfurt am Main","Hesse, Germany"
374, Germany,"International School of Management, Dortmund","North Rhine-Westphalia, Germany"
375, Germany,"Munich Business School, Munich","Bavaria, Germany"
376, Germany,"ESMT Berlin, Berlin","Berlin, Germany"
377, Germany,"FH Aachen - University of Applied Sciences, Aachen","North Rhine-Westphalia, Germany"
378, Germany,"Aalen University, Aalen","Baden-Wurttemberg, Germany"
379, Germany,"Ansbach University of Applied Sciences, Ansbach","Bavaria, Germany"
380, Germany,"IU, International University of Applied Sciences, Bad Honnef","North Rhine-Westphalia, Germany"
381, Germany,"BBW University of Applied Sciences, Berlin","Berlin, Germany"
382, Germany,"Berlin School of Business and Innovation, Berlin","Berlin, Germany"
383, Germany,"Beuth University of Applied Sciences, Berlin","Berlin, Germany"
384, Germany,"CODE University of Applied Sciences, Berlin","Berlin, Germany"
385, Germany,"GISMA Business School, Hannover","Lower Saxony, Germany"
386, Germany,"HTW Berlin-University of Applied Sciences, Berlin","Berlin, Germany"
387, Germany,"Macromedia University of Applied Sciences, Munich","Bavaria, Germany"
388, Germany,"SRH Hochschule Berlin, Berlin","Berlin, Germany"
389, Germany,"Anhalt University of Applied Sciences, Bernburg","Saxony, Germany"
390, Germany,"Biberach University of Applied Science, Biberach an der Riss","Baden-Wurttemberg, Germany"
391, Germany,"Coburg University of Applied Sciences and Arts, Coburg","Bavaria, Germany"
392, Germany,"Darmstadt University of Applied Sciences, Darmstadt","Hesse, Germany"
393, Germany,"Deggendorf Institute of Technology, Deggendorf","Bavaria, Germany"
394, Germany,"Dresden International University, Dresden","Saxony, Germany"
395, Germany,"University of Erfurt, Erfurt","Thuringia, Germany"
396, Germany,"FOM University of Applied Sciences, Essen","North Rhine-Westphalia, Germany"
397, Germany,"Esslingen University of Applied Sciences, Esslingen am Neckar","Baden-Wurttemberg, Germany"
398, Germany,"Flensburg University of Applied Sciences, Flensburg","Schleswig-Holstein, Germany"
399, Germany,"Fulda University of Applied Sciences, Fulda","Hesse, Germany"
400, Germany,"Furtwangen University, Furtwangen im Schwarzwald","Baden-Wurttemberg, Germany"
401, Germany,"HafenCity University Hamburg, Hamburg","Hamburg, Germany"
402, Germany,"Hamburg University of Applied Sciences, Hamburg","Hamburg, Germany"
403, Germany,"Kuehne Logistics University, Hamburg","Hamburg, Germany"
404, Germany,"West Coast University of Applied Sciences, Heide","Schleswig-Holstein, Germany"
405, Germany,"Heilbronn University, Heilbronn","Baden-Wurttemberg, Germany"
406, Germany,"Hof University of Applied Sciences, Hof","Bavaria, Germany"
407, Germany,"Karlsruhe University of Applied Sciences, Karlsruhe","Baden-Wurttemberg, Germany"
408, Germany,"Kempten University of Applied Sciences, Kempten im Allgau","Bavaria, Germany"
409, Germany,"Kiel University of Applied Sciences, Kiel","Schleswig-Holstein, Germany"
